,S1,C1,E1,P1,C2,E2,S2,C3,P2,E3
4127,-4.1453330786175637e-13,-8.636110849940127e-13,0.25000000000086486,-4.145331976161637e-12,2.949847962810843e-07,0.2500000000008649,1.9999983308694336,-6.908880818603509e-11,1.374214850317593e-06,0.24999970501520302
4128,-4.145333048613053e-13,-8.636110785483044e-13,0.25000000000086486,-4.145331954202117e-12,2.9290604741120443e-07,0.2500000000008649,1.9999983426323134,-6.90888082221706e-11,1.3645307193781413e-06,0.24999970709395192
4129,-4.1453330188268487e-13,-8.636110721494431e-13,0.25000000000086486,-4.145331932346131e-12,2.908419438980088e-07,0.2500000000008649,1.9999983543123203,-6.908880825809955e-11,1.3549148159682239e-06,0.24999970915805542
4130,-4.1453329892570916e-13,-8.636110657970728e-13,0.25000000000086486,-4.145331910573751e-12,2.8879238252168526e-07,0.2500000000008649,1.9999983659100384,-6.908880829384322e-11,1.3453666592207886e-06,0.2499997112076168
4131,-4.145332959901823e-13,-8.636110594908165e-13,0.25000000000086486,-4.1453318888629016e-12,2.8675726078123614e-07,0.2500000000008649,1.9999983774260477,-6.908880832942517e-11,1.3358857716175179e-06,0.24999971324273854
4132,-4.1453329307589777e-13,-8.636110532302749e-13,0.25000000000086486,-4.145331867189265e-12,2.847364768885053e-07,0.2500000000008649,1.9999983888609243,-6.908880836487124e-11,1.3264716789610024e-06,0.24999971526352244
4133,-4.1453329018265864e-13,-8.636110470153066e-13,0.25000000000086486,-4.14533184576169e-12,2.827299304147195e-07,0.2500000000008649,1.9999984002152362,-6.908880839997441e-11,1.3171239133882182e-06,0.24999971727006892
4134,-4.1453328731023175e-13,-8.636110408454103e-13,0.25000000000086486,-4.145331824506785e-12,2.807375208567216e-07,0.2500000000008649,1.9999984114895524,-6.908880843480975e-11,1.3078420066878932e-06,0.24999971926247846
4135,-4.14533284458373e-13,-8.636110347200757e-13,0.25000000000086486,-4.145331803362905e-12,2.787591484458156e-07,0.2500000000008649,1.9999984226844374,-6.908880846944073e-11,1.2986254940704648e-06,0.24999972124085088
4136,-4.14533281626831e-13,-8.636110286388377e-13,0.25000000000086486,-4.145331782327313e-12,2.7679471427273877e-07,0.2500000000008649,1.999998433800451,-6.908880850387199e-11,1.2894739147505761e-06,0.24999972320528505
4137,-4.14533278815341e-13,-8.636110226012061e-13,0.25000000000086486,-4.145331761397865e-12,2.748441201203591e-07,0.2500000000008649,1.9999984448381487,-6.908880853810774e-11,1.2803868111673063e-06,0.2499997251558792
4138,-4.14533276023625e-13,-8.636110166066641e-13,0.25000000000086486,-4.145331740573062e-12,2.729072684581186e-07,0.2500000000008649,1.9999984557980826,-6.908880857215164e-11,1.2713637289582828e-06,0.24999972709273086
4139,-4.1453327325139054e-13,-8.636110106546672e-13,0.25000000000086486,-4.145331719852105e-12,2.7098406243646726e-07,0.2500000000008649,1.9999984666808006,-6.908880860600676e-11,1.2624042169337522e-06,0.2499997290159369
4140,-4.145332704983306e-13,-8.636110047446417e-13,0.25000000000086486,-4.145331699234948e-12,2.6907440588130655e-07,0.2500000000008649,1.9999984774868471,-6.908880863967553e-11,1.2535078270506914e-06,0.24999973092559344
4141,-4.1453326776412286e-13,-8.636109988759839e-13,0.25000000000086486,-4.145331678722351e-12,2.6717820328841814e-07,0.2500000000008649,1.9999984882167623,-6.908880867315967e-11,1.2446741143868533e-06,0.24999973282179605
